"Livsmedelsverkets livsmedelsdatabas version 2023-06-13";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Näringsinnehåll per 100 gram livsmedel";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Livsmedelsnamn";"Livsmedelsnummer";"Gruppering";"Energi (kcal)";"Energi (kJ)";"Fett, totalt (g)";"Protein (g)";"Kolhydrater, tillgängliga (g)";"Fibrer (g)";"Vatten (g)";"Alkohol (g)";"Aska (g)";"Sockerarter, totalt (g)";"Monosackarider (g)";"Disackarider (g)";"Tillsatt socker (g)";"Fritt socker (g)";"Fullkorn totalt (g)";"Summa mättade fettsyror (g)";"Fettsyra 4:0-10:0 (g)";"Laurinsyra C12:0 (g)";"Myristinsyra C14:0 (g)";"Palmitinsyra C16:0 (g)";"Stearinsyra C18:0 (g)";"Arakidinsyra C20:0 (g)";"Summa enkelomättade fettsyror (g)";"Palmitoljesyra C16:1 (g)";"Oljesyra C18:1 (g)";"Summa fleromättade fettsyror (g)";"Linolsyra C18:2 (g)";"Linolensyra C18:3 (g)";"Arakidonsyra C20:4 (g)";"EPA (C20:5) (g)";"DPA (C22:5) (g)";"DHA (C22:6) (g)";"Kolesterol (mg)";"Vitamin A (RE/µg)";"Retinol (µg)";"Betakaroten/β-Karoten (µg)";"Vitamin D (µg)";"Vitamin E (mg)";"Vitamin K (µg)";"Tiamin (mg)";"Riboflavin (mg)";"Niacin (mg)";"Niacinekvivalenter (NE/mg)";"Vitamin B6 (mg)";"Folat (µg)";"Vitamin B12 (µg)";"Vitamin C (mg)";"Fosfor, P (mg)";"Jod, I (µg)";"Järn, Fe (mg)";"Kalcium, Ca (mg)";"Kalium, K (mg)";"Magnesium, Mg (mg)";"Natrium, Na (mg)";"Salt, NaCl (g)";"Selen, Se (µg)";"Zink, Zn (mg)";"Avfall (skal etc.) (%)"
"Syltlök inlagd";420;"Grönsaker, baljväxter, svamp";83;349;0.1;0.9;18.7;1.5;77;0;1.8;5;3.5;1.5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.5;0;18;0;0.1;;0.02;0.03;0.1;0.25;0.1;20;0;5;23;2;0.3;17;109;3;148;0.4;0.5;0.1;0
"Tomater gröna syltade";421;"Grönsaker, baljväxter, svamp";86;360;0.2;1.2;18.6;2;77.5;0;0.5;19.5;3.5;16;20;20;0;0;0;0;0;0;0;0;0;0;0;0.1;0.1;0;0;0;0;0;0;30;0;360;0;0.7;;0.06;0.04;0.5;0.7;0.5;9;0;12;28;2;0.5;13;204;10;13;0;0.5;0.1;0
"Tomat krossad konserv. m. lag";422;"Grönsaker, baljväxter, svamp";22;94;0.2;0.8;3.7;1.2;93.4;0;0.7;3.6;3.6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0.1;0.1;0;0;0;0;0;0;28.5;0;342;0;1.6;3.5;0.04;0.02;0.94;1.1;0.13;28.1;0;15;22;2;0.6;12;295;12;16;0;0;0.1;0
"Fefferoni konserv. inlagd";423;"Grönsaker, baljväxter, svamp";19;80;0.1;0.7;1.7;4.5;88.2;0;4.8;0.7;0.5;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.1;0;92;0;1.1;10.9;0.01;0.03;0.46;0.6;0.12;13.6;0;0.3;11;49;0.7;32;86;13;1725;4.3;0.7;0.2;0
"Wokgrönsaker Asiatiska wokade m. rapsolja";424;"Grönsaker, baljväxter, svamp";49;204;1.3;1.4;5.7;4.3;86;0;1.3;4.5;2.1;2.4;0;0;0;0.1;0;0;0;0.1;0;0;0.7;0;0.6;0.4;0;0.1;0;0;0;0;2;256.9;0;2600;0;1.3;20.6;0.06;0.06;0.48;0.7;0.15;42.4;0.06;9.7;37;2;0.6;44;226;16;220;0.6;5;0.4;0
"Wokgrönsaker Classic wokade m. rapsolja";425;"Grönsaker, baljväxter, svamp";47;198;1.6;1.8;4.9;3.1;87.8;0;0.8;3.5;1.8;1.7;0;0;0;0.2;0;0;0;0.1;0;0;0.8;0;0.8;0.5;0.4;0.2;0;0;0;0;2;325.8;0;3310;0;1.4;35.1;0.04;0.07;0.67;1;0.17;75.1;0.08;11.4;47;2;0.6;33;229;18;79;0.2;5;0.5;0
"Grönsaksblandning ärtor morot konserv. m. lag";426;"Grönsaker, baljväxter, svamp";41;172;0.3;2.2;6.1;2.5;88;0;0.9;1.9;0.3;1.6;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0.2;0.1;0;0;0;0;0;0;450;0;5400;0;0.2;;0.08;0.05;0.6;0.97;0.09;18;0;5;46;3.3;0.8;30;20;14;370;0.9;0.5;0.6;0
"Grönsaksjuice konserv. el. pastöriserad drickf.";427;"Dryck";19;80;0.1;0.6;3.7;0.4;94;0;1.2;3.2;3.1;0.1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58.3;0;700;0;0.1;;0.04;0.03;0.7;0.8;0.14;13;0;28;17;1.8;0.4;11;193;11;365;0.9;0.5;0.2;0
"Champinjon konserv. u. lag";428;"Grönsaker, baljväxter, svamp";18;77;0.3;2.4;0.3;2.5;93.6;0;0.9;0.2;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.12;0.54;0.9;0.02;6.4;0;15.3;37;0;0.3;9;62;3;223;0.6;4.4;0.3;0
"Pumpasallad m. paprika inlagd sockrad u. lag";429;"Grönsaker, baljväxter, svamp";64;268;0.2;0.9;13.5;2;83;0;0.4;13.6;6.8;6.8;11;11;0;0.1;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;150;0;1800;0;0.5;;0.05;0.09;0.1;0.25;0.1;19;0;10;3;;0.5;16;265;7;6;0;1;0.1;0
"Grönsakssoppa klar veg. ";430;"Rätter";23;97;0.2;0.9;3.9;0.9;93;0;1.1;1.4;0.8;0.6;0;0;0;0.1;0;0;0;0;0;0;0.1;0;0.1;0.1;0;0;0;0;0;0;0;145.8;0;1750;0;0.1;;0.02;0.02;0.4;0.55;0.02;4;0;1;22;0.4;0.3;10;109;6;253;0.6;0.1;0.1;0
"Spenatsoppa veg. hemlagad";431;"Rätter";36;149;2;1.9;2.2;0.7;92;0;1.2;0.9;0.1;0.8;0;0;0;0.8;0.1;0.1;0.1;0.4;0.2;0;0.8;0;0.7;0.3;0.2;0.1;0;0;0;0;0;116.3;19;1168;0;0.3;;0.03;0.07;0.43;0.75;0.05;38.5;0.1;3.6;32;3.7;0.4;61;117;12;129;0.3;0.4;0.3;0
"Vitkål stuvad hemlagad";432;"Rätter";69;287;3.3;2.3;6.8;1.3;85;0;1.3;4.1;2;2.1;0;0;0;1.2;0.2;0.1;0.2;0.6;0;0;1.1;0;1.1;0.4;0.3;0.1;0;0;0;0;6;41;34;84;0.21;0.3;;0.04;0.08;0.37;0.75;0.08;38;0.2;19;52;4.8;0.4;59;137;9;270;0.7;0.8;0.2;0
"Blomkål gratinerad";433;"Rätter";92;387;4.9;5.1;6.2;1.6;80.2;0;2;4.2;1.3;2.9;0;0;0;2.3;0.3;0.1;0.4;1.1;0.4;0;1.6;0.1;1.5;0.6;0.4;0.1;0;0;0;0;10.2;35.8;31.9;47;0.56;0.5;;0.04;0.12;0.4;1.46;0.09;27.6;0.38;18.9;119;46.7;0.3;132;247;16;365;0.9;1.9;0.6;16
"Blomkål kokt m. salt";434;"Grönsaker, baljväxter, svamp";24;102;0.2;1.9;2.6;2.3;91.8;0;1.2;2.7;2.1;0.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0.5;0;6;0;0.1;;0.04;0.04;0.52;0.8;0.13;52.8;0;43.3;43;20.7;0.3;24;237;11;164;0.4;0;0.2;33
"Blomkål stuvad";435;"Rätter";60;253;2.7;2.8;5.5;1.5;85.9;0;1.6;3.7;1.3;2.4;0;0;0;0.9;0.1;0;0.1;0.5;0.2;0;1.1;0;1;0.5;0.3;0.1;0;0;0;0;4.2;15.5;12.4;37;0.47;0.5;;0.04;0.08;0.38;0.93;0.1;38.4;0.22;27.8;72;43.7;0.3;66;218;12;325;0.8;0.9;0.3;19
"Gröna bönor stuvade";436;"Rätter";56;236;2.1;2.4;5.8;1.9;86.3;0;1.4;2.1;0.8;1.3;0;0;0;0.6;0;0;0.1;0.3;0.1;0;0.9;0;0.9;0.5;0.3;0.1;0;0;0;0;2.1;30.5;7.2;261;0.27;0.5;;0.05;0.09;0.5;0.97;0.05;30;0.11;7.6;54;29.6;0.6;76;172;19;267;0.7;0.6;0.3;0
"Grönkålssoppa";437;"Rätter";32;135;1.9;1.2;2.1;0.9;92.4;0;1.5;0.5;0.3;0.2;0;0;0;0.2;0;0;0;0.2;0.1;0;1;0;0.9;0.6;0.4;0.2;0;0;0;0;0;61.5;2.7;705;0.08;1.2;;0.01;0.03;0.29;0.5;0.02;5.1;0.03;5.1;14;22.1;0.2;48;85;8;475;1.2;0.9;0.1;0
"Grönsakssoppa redd ängamat veg. ";438;"Rätter";48;203;3;2;2.9;1.1;89.8;0;1.2;2.8;1.1;1.7;0;0;0;1.7;0.2;0.1;0.2;0.9;0.3;0;0.8;0.1;0.7;0.2;0.1;0;0;0;0;0;27.8;142.6;33.9;1141;0.4;0.7;;0.04;0.07;0.29;0.69;0.07;27.5;0.22;12.3;53;35.9;0.3;57;131;10;261;0.6;1.8;0.3;6
"Grönsaksbiff stekt veg.";439;"Rätter";117;489;5.4;4.7;10.3;4;73.1;0;2.3;1.5;0.6;0.9;0;0;0;1.1;0.1;0;0.1;0.6;0.2;0;2.4;0;2.3;1.2;0.9;0.2;0;0;0;0;43.7;99;38.7;611;0.51;1.9;;0.07;0.1;0.84;1.78;0.19;47.9;0.21;4.4;111;64.2;0.9;59;299;21;547;1.4;4.5;0.7;4
"Grönsallat m. vinägrettsås";440;"Grönsaker, baljväxter, svamp";130;543;12.9;0.9;2.6;0.7;81.3;0;1.4;1.6;1.5;0.1;0;0;0;0.9;0;0;0;0.6;0.2;0.1;7.8;0;7.5;3.6;2.4;1.1;0;0;0;0;0;22.9;0;274;0;3.7;;0.05;0.02;0.38;0.55;0.07;71;0;15.1;30;50;0.5;36;176;14;393;1;0.4;0.2;5
"Sallad m. grönsallat gurka tomat vinägrettsås";441;"Grönsaker, baljväxter, svamp";113;471;11;0.8;2.6;0.6;83.7;0;1.2;1.7;1.7;0;0;0;0;0.8;0;0;0;0.5;0.2;0.1;6.7;0;6.4;3.1;2.1;0.9;0;0;0;0;0;21.2;0;253;0;3.2;;0.03;0.01;0.32;0.45;0.06;27.7;0;11.3;25;43.6;0.3;27;169;12;336;0.8;0.3;0.2;4
"Grönsallat m. gräddfilsås";442;"Grönsaker, baljväxter, svamp";176;736;17.1;1.7;4.1;0.7;75;0;1.3;3.3;1.7;1.7;1;1;0;4;0.4;0.1;0.4;2.2;0.7;0.1;9.4;0.1;9;2.7;1.9;0.7;0;0;0;0;22.9;89.5;42.5;564;0.12;3.6;;0.06;0.07;0.45;0.8;0.08;59.1;0.11;16.5;48;33.7;0.6;60;207;12;285;0.7;1.2;0.4;4
"Sallad m. grönsallat gurka tomat gräddfilsås";443;"Grönsaker, baljväxter, svamp";159;665;15.3;1.5;3.9;0.6;77.4;0;1.2;3.2;1.8;1.5;1;1;0;3.6;0.3;0.1;0.4;2;0.7;0.1;8.4;0.1;8.1;2.4;1.7;0.6;0;0;0;0;20.6;81.5;38.2;520;0.11;3.2;;0.04;0.06;0.4;0.7;0.07;29.6;0.1;13.6;43;30.9;0.4;51;199;11;255;0.6;1.1;0.3;3
"Sallad m. grönsallat gurka tomat paprika u. dressing";444;"Grönsaker, baljväxter, svamp";17;71;0.1;0.8;2.6;0.9;95.1;0;0.5;2.6;2.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;24.1;0;279;0;0.7;;0.03;0.01;0.48;0.61;0.11;38.1;0;38;24;1.8;0.3;17;186;10;3;0;0;0.2;7
"Gurka inlagd m. lag hemlagad";445;"Grönsaker, baljväxter, svamp";42;177;0;0.7;9.6;0;89.1;0;0.6;8.6;1.5;7.1;7;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.2;0;133;0;0.1;;0.02;0;0.18;0.28;0.05;10.1;0;9.8;23;15.4;0.3;17;145;9;103;0.3;0;0.2;7
"Lök stekt m. olja el. flytande margarin salt";446;"Grönsaker, baljväxter, svamp";53;223;1.2;1.4;8.2;2.1;85.5;0;1.7;5.1;3.4;1.7;0;0;0;0.1;0;0;0;0.1;0;0;0.6;0;0.6;0.3;0.3;0.1;0;0;0;0;0;1.9;1.6;4;0.04;0.3;;0.04;0;0.16;0.34;0.16;16.1;0;5.3;38;61.5;0.2;37;215;13;474;1.2;0;0.1;6
"Löksås";447;"Rätter";115;481;7.4;1.1;10.7;0.7;77.8;0.07;2.2;8.1;4.5;3.7;6;6;0;2.2;0.2;0.1;0.3;1.1;0.4;0;3.3;0.1;3.2;1.4;1.1;0.4;0;0;0;0;7.3;31.4;29.4;24;0.23;1.4;;0.01;0.02;0.21;0.39;0.05;8;0.09;1.5;32;48.8;0.1;24;85;9;765;1.9;0.3;0.1;2
"Lök gul kokt m. salt";448;"Grönsaker, baljväxter, svamp";39;162;0.1;1.2;7.3;1.9;88.7;0;0.9;4.5;3;1.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;2;0;0;;0.02;0;0.14;0.3;0.11;12.2;0;4.3;33;21.9;0.2;31;133;11;161;0.4;0;0.1;6
"Nässelsoppa";450;"Rätter";38;158;2.7;1.3;1.7;0.7;91.9;0;1.6;0.2;0.1;0.1;0;0;0;0.3;0;0;0;0.2;0.1;0;1.4;0;1.4;0.8;0.6;0.2;0;0;0;0;0;57.7;3.9;646;0.11;1.5;;0.01;0.03;0.16;0.39;0.01;13;0.04;1.2;24;25;0.7;66;36;9;535;1.3;0.2;0.1;0
"Paprika förvälld";451;"Grönsaker, baljväxter, svamp";28;117;0.2;0.6;5;1.7;91.2;0;1.3;5.8;5.6;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32.2;0;320;0;2.5;;0.02;0.02;0.98;1.12;0.2;32.7;0;100.8;20;25.3;0.4;11;104;10;201;0.5;0;0.2;17
"Purjolök kokt m. salt";452;"Grönsaker, baljväxter, svamp";30;123;0.1;1.6;4.1;2.7;90.5;0;1;4;3.5;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;27.7;0;331;0;0.8;;0.05;0.05;0.48;0.7;0.15;43.3;0;11.1;29;21.9;0.6;44;167;11;164;0.4;0;0.2;8
"Rödkål tillagad";453;"Grönsaker, baljväxter, svamp";61;256;2.2;0.8;8.3;2.4;84.9;0.08;1.3;7.8;5.7;2.1;1;1;0;0.2;0;0;0;0.2;0;0;1.1;0;1.1;0.7;0.5;0.2;0;0;0;0;0;3.8;2.9;9;0.08;0.6;;0.04;0;0.28;0.42;0.12;20.4;0;21.5;22;36.2;0.3;25;199;10;271;0.7;0;0.1;8
"Sparris stuvad";454;"Rätter";62;260;2.7;3.6;5.4;1;86;0;1.4;2.7;0.6;2.1;0;0;0;0.9;0.1;0;0.1;0.5;0.2;0;1.1;0;1;0.5;0.4;0.1;0;0;0;0;4.2;31.7;12.4;231;0.47;1.6;;0.06;0.11;0.74;1.44;0.08;49.9;0.22;12.2;77;33.3;0.5;65;201;16;225;0.6;1.1;0.8;0
"Spenat fräst m. olja el. flytande margarin salt";455;"Grönsaker, baljväxter, svamp";28;116;1;2.8;0.6;2.5;90.3;0;2.7;0.8;0.4;0.4;0;0;0;0.1;0;0;0;0.1;0;0;0.2;0;0.2;0.5;0.1;0.3;0;0;0;0;0;304.1;0.4;3626;0.01;1.6;;0.05;0.12;0.29;0.75;0.11;83.2;0;8.9;42;87;1;152;288;41;673;1.6;0;1;0
"Spenat stuvad";456;"Rätter";54;227;3.6;2.5;2.3;1.7;88.9;0;1;1.4;0.2;1.1;0;0;0;2;0.2;0.1;0.3;1;0.3;0;0.8;0.1;0.7;0.3;0.1;0.2;0;0;0;0;9;225.5;26.4;2377;0.11;1;;0.03;0.09;0.21;0.68;0.06;48.6;0.1;5.5;47;12.5;0.7;120;161;28;78;0.2;0.4;0.7;0
"Champinjon stekt m. salt";457;"Grönsaker, baljväxter, svamp";45;188;1.5;3;3.4;3;86.7;0;2.4;0.1;0.1;0;0;0;0;0.1;0;0;0;0.1;0;0;0.7;0;0.7;0.3;0.3;0.1;0;0;0;0;0;1.9;1.7;1;0.22;0.3;;0.08;0.52;3.29;3.79;0.05;29.1;0;0;20;61.4;0.3;14;139;11;489;1.2;21.5;0.6;0
"Champinjon stuvad";458;"Rätter";166;697;14.3;3.4;5.9;1.1;73.6;0;1.7;3;0;3;0;0;0;5.2;0.5;0.2;0.7;2.6;0.9;0.1;5.8;0.2;5.5;2.2;1.7;0.6;0;0;0;0;20.9;75.7;70.9;58;0.86;2.1;;0.05;0.23;1.2;1.92;0.04;16;0.34;0.4;73;45.6;0.1;80;136;11;341;0.9;8.7;0.5;0
"Champinjonsås hemlagad";459;"Rätter";131;548;11.4;2.1;4.7;1.2;77.8;0;2.7;0.9;0.2;0.8;0;0;0;4;0.4;0.2;0.6;2;0.7;0;4.7;0.1;4.5;1.9;1.4;0.5;0;0;0;0;14.9;60.3;53.4;82;0.35;1.8;;0.03;0.17;1.3;1.69;0.02;10.2;0.07;0.2;29;73;0.2;26;77;9;857;2.1;8.5;0.3;0
"Tomatsallad m. vinägrett";460;"Grönsaker, baljväxter, svamp";54;224;4.2;0.8;2.7;1.2;90.1;0;1;2.6;2.6;0;0;0;0;0.3;0;0;0;0.2;0.1;0;2.5;0;2.4;1.2;0.8;0.4;0;0;0;0;0;38;0;455;0;1.7;;0.03;0;0.52;0.63;0.09;15.2;0;13.3;22;29.3;0.2;13;219;9;220;0.5;0;0.1;0
"Tomatsås italiensk";461;"Rätter";93;390;7.4;1.1;4.9;1.4;82.8;0.13;2;4.1;3.2;0.9;1;2;0;0.6;0;0;0;0.3;0.1;0;4.4;0;4.3;2.1;1.4;0.6;0;0;0;0;0;45.5;0;544;0;2.7;;0.02;0.01;0.61;0.79;0.08;14.4;0;6.8;29;57.7;0.6;28;178;17;581;1.4;0.2;0.2;1
"Tomatsalsa kall";462;"Rätter";22;91;0.1;1;3.4;1.5;92.1;0;1.9;2.8;2.7;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0.1;0;0;0;0;0;0;68.7;0;824;0;0.8;;0.04;0.02;0.61;0.76;0.12;29.6;0;28.9;28;66.6;0.5;40;268;11;514;1.3;0;0.2;1
"Vitkålssoppa tillagad veg.";464;"Rätter";32;133;1.8;0.8;2.6;1.2;92.6;0;1;2.8;2.6;0.2;0;0;0;0.2;0;0;0;0.1;0.1;0;1;0;0.9;0.5;0.4;0.1;0;0;0;0;0;5.8;2.4;40;0.08;0.5;;0.01;0.01;0.2;0.33;0.06;7;0;11.9;15;1.9;0.1;22;93;7;270;0.7;0;0.1;6
"Vitkål kokt m. salt";465;"Grönsaker, baljväxter, svamp";30;122;0.1;1.1;4.7;2.6;90.4;0;1.1;5.7;5.3;0.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0.5;0;6;0;0;;0.03;0;0.32;0.5;0.12;11.4;0;25.3;24;22.5;0.2;41;167;11;169;0.4;0;0.1;14
"Brunkål";466;"Grönsaker, baljväxter, svamp";48;200;1;1.3;7;2.4;86.2;0;1.9;7.7;6.3;1.4;2;2;0;0.1;0;0;0;0.1;0;0;0.5;0;0.5;0.3;0.2;0.1;0;0;0;0;0;2.1;1.5;7;0.02;0.3;;0.03;0.01;0.34;0.56;0.1;7.6;0.01;15.6;28;29.3;0.3;42;176;12;509;1.3;0.1;0.1;10
"Vitkålssallad pizzasallad";467;"Rätter";88;368;7.2;0.9;4.1;2;84.6;0;1.1;4.5;4.2;0.3;0;0;0;0.5;0;0;0;0.3;0.1;0;4.4;0;4.2;2;1.4;0.6;0;0;0;0;0;0.4;0;5;0;1.9;;0.04;0;0.26;0.4;0.13;16.3;0;38.9;20;29.2;0.2;34;195;9;223;0.5;0.2;0.1;11
"Vitkålssallad m. lingonsylt";468;"Grönsaker, baljväxter, svamp";61;254;0.1;0.9;12.8;2.2;83.5;0;0.5;12.3;9.3;3;7;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4;0;5;0;0.1;33;0.03;0;0.29;0.42;0.12;14.6;0;34.1;19;1.5;0.2;33;185;9;8;0;0;0.1;10
"Aubergine kokt m. salt";469;"Grönsaker, baljväxter, svamp";24;100;0.1;1.4;2.8;3;91.5;0;1.2;3.3;3;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;3.3;0;39;0;0.1;;0.02;0;0.74;1.01;0.03;16.2;0;2.3;31;25.4;0.3;13;187;18;203;0.5;0;0.2;5
"Aubergine stekt m. olja el. flytande margarin salt";470;"Grönsaker, baljväxter, svamp";74;309;6;1.3;2.6;2.8;85.1;0;2.3;3.1;2.8;0.2;0;0;0;0.6;0;0;0;0.4;0.1;0;3.3;0;3.2;1.7;1.3;0.4;0;0;0;0;0;12.3;8.6;43;0.24;1.7;;0.02;0;0.68;0.94;0.04;17.5;0;2.3;29;83.4;0.3;14;247;17;674;1.7;0;0.2;5
"Ärtor morot kokta m. salt";471;"Grönsaker, baljväxter, svamp";52;220;0.3;2.9;7.7;3.4;84.6;0;1;5.6;1.6;4;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0.2;0.1;0;0;0;0;0;0;444.5;0;4512;0;0.3;;0.08;0.04;1.2;1.69;0.09;31.5;0;7.6;56;21;0.7;24;126;15;201;0.5;0;0.4;2
"Ärtor morot stuvade";472;"Rätter";67;282;2.2;2.9;7.8;2.2;83.3;0;1.6;4.6;1;3.5;0;0;0;0.6;0;0;0.1;0.3;0.1;0;0.9;0;0.9;0.5;0.4;0.1;0;0;0;0;2.1;287.9;7.2;2855;0.27;0.6;;0.07;0.06;0.93;1.46;0.07;23.7;0.11;7.5;60;44.3;0.5;43;119;13;411;1;0.6;0.4;1
"Ärtpurésoppa gröna ärtor tillagad veg. ";473;"Rätter";50;210;2.9;1.4;3.1;1.2;88.6;0.54;1.2;2;0.5;1.4;0;0;0;1.9;0.2;0.1;0.3;0.9;0.3;0;0.7;0.1;0.6;0.1;0.1;0;0;0;0;0;8.3;60.3;22.6;397;0.01;0.1;;0.03;0.02;0.42;0.66;0.03;13.5;0.02;3.3;29;40.7;0.4;15;56;8;406;1;0.1;0.2;0
"Gryta kikärtsgryta grönsaksgryta veg. ";478;"Rätter";61;253;1.9;2.4;6.6;3.8;84.2;0;1.2;3.8;2.7;1.1;0;0;0;0.2;0;0;0;0.1;0;0;0.9;0;0.9;0.6;0.5;0.1;0;0;0;0;0;130.8;0;1334;0;0.9;;0.05;0.02;0.5;0.88;0.1;26.1;0;6.8;44;18.9;0.5;33;134;15;229;0.6;0.8;0.3;5
"Gratäng m. grönsaker rotfrukter veg.";479;"Rätter";94;392;4.5;3.7;8.8;1.9;80.1;0;1.1;3;0.9;2.1;0;0;0;2.6;0.3;0.1;0.4;1.2;0.4;0;1.2;0.1;1.1;0.3;0.2;0.1;0;0;0;0;11.2;121.3;34.1;896;0.24;0.5;;0.04;0.08;0.55;1.29;0.08;17.7;0.2;9;76;11.9;0.4;75;184;15;180;0.4;1;0.5;3
"Grönsakssoppa m. pasta tillagad pulver";480;"Rätter";30;125;0.8;0.9;4.2;1.1;92;0;1;2.5;0.1;2.4;0;0;0;0.1;0;0;0;0.1;0;0;0.3;0;0.3;0.3;0.3;0;0;0;0;0;0;62.5;0;750;0;0.1;;0.02;0.02;0.4;0.55;0.03;4;0;1;16;;0.2;9;84;3;392;1;0.8;0.2;0
"Löksoppa fransk tillagad pulver m. vatten";481;"Rätter";25;105;0.2;0.4;5.2;0.2;92.9;0;1;0.3;0;0.3;0;0;0;0.1;0;0;0;0;0;0;0.1;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;;0.75;0.02;0.09;0.16;0.05;16.4;0.03;0;12;;0.1;10;42;1;353;0.9;0.6;0;0
"Grönsakssoppa tillagad klar konserv.";482;"Rätter";15;63;0.1;0.6;2.3;1.5;94.4;0;1.2;1.6;0.6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;158.3;0;1900;0;0.3;;0.02;0.02;0.24;0.35;0.04;17.8;0.06;0;13;;0.2;224;808;9;386;1;0.5;0.2;0
"Grönsakssoppa tillagad redd pulver m. vatten mjölk";484;"Rätter";49;206;2.2;1.7;5.1;1.3;88.3;0;1.5;2.4;0.2;2.2;1;1;0;0.9;0.1;0;0.1;0.4;0.3;0;1;0;1;0.1;0.1;0;0;0;0;0;2;98.3;5.4;1114;0;0.4;;0.04;0.07;0.25;0.54;0.06;27.6;0.07;0;46;;0.2;33;124;13;418;1;0.9;0.3;0
"Grönsakssoppa tillagad redd pulver";486;"Rätter";45;188;2.2;0.5;5.3;1.3;89.8;0;1;0.8;0.1;0.7;1;1;0;1;0;0;0;0.7;0.3;0;1;0;1;0.1;0.1;0;0;0;0;0;0;92.9;0;1114;0;0.4;;0.42;0.01;0.09;0.18;0.02;13.8;0.04;0;11;;0;7;29;13;352;0.9;0.3;0.1;0
"Gurka inlagd";487;"Grönsaker, baljväxter, svamp";59;246;0.7;0.7;11.4;1.8;82.8;0;2.6;6.1;3.4;2.7;6;6;0;0.2;0;0;0;0.2;0;0;0;0;0;0.3;0.2;0.2;0;0;0;0;0;15;0;180;0;0.2;;0.04;0.09;0.2;0.32;0.04;8;0;0;23;3;0.2;17;129;11;825;2.1;0;0.2;0
"Bostongurka";488;"Grönsaker, baljväxter, svamp";78;328;0.4;1;16.6;1.8;79;0;1.2;15.7;9.3;6.4;16;16;0;0.1;0;0;0;0.1;0;0;0;0;0;0.2;0.1;0.1;0;0;0;0;0;32;0;384;0;0.2;;0;0;0.2;0.37;0;8;0;0;4;0.5;0.1;3;170;11;600;1.5;0;0.2;0
"Gurka fermenterad u. lag";489;"Grönsaker, baljväxter, svamp";9;38;0;1;1;0.5;97.1;0;0.4;0.3;0.2;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;96;0;0.2;;0;0;0.1;0.27;0.04;8;0;0;4;;0.1;33;183;11;853;2.1;0;0.2;0
"Saltgurka u. lag";490;"Grönsaker, baljväxter, svamp";15;61;0.2;0.9;1.4;1.8;92;0;3.7;0;0;0;0;0;0;0.1;0;0;0;0.1;0;0;0;0;0;0.1;0;0;0;0;0;0;0;8;0;96;0;0.1;;0.02;0.03;0.1;0.25;0;8;0;0;23;3;0.2;17;119;10;1400;3.5;0;0.2;0
"Ättiksgurka u. lag";491;"Grönsaker, baljväxter, svamp";43;180;0.3;0.9;8.2;1.8;88;0;0.8;4.5;2.5;2;4;4;0;0.1;0;0;0;0.1;0;0;0;0;0;0.1;0.1;0.1;0;0;0;0;0;7.5;0;90;0;0.1;;0.02;0.03;0.2;0.35;0;8;0;0;23;3;0.3;17;140;10;910;2.3;0;0.2;0
